"day_of_week","month_of_year","start_time","end_time","period_type","pricing_type"
6,11,"00:00","23:59",Hiver,HC
0,11,"00:00","23:59",Hiver,HC
1,12,"00:00","06:59",Hiver,HC
1,12,"07:00","12:59",Hiver,HP
1,12,"13:00","15:59",Hiver,HC
1,12,"16:00","23:59",Hiver,HP
2,12,"00:00","06:59",Hiver,HC
2,12,"07:00","12:59",Hiver,HP
2,12,"13:00","15:59",Hiver,HC
2,12,"16:00","23:59",Hiver,HP
3,12,"00:00","06:59",Hiver,HC
3,12,"07:00","12:59",Hiver,HP
3,12,"13:00","15:59",Hiver,HC
3,12,"16:00","23:59",Hiver,HP
4,12,"00:00","06:59",Hiver,HC
4,12,"07:00","12:59",Hiver,HP
4,12,"13:00","15:59",Hiver,HC
4,12,"16:00","23:59",Hiver,HP
5,12,"00:00","06:59",Hiver,HC
5,12,"07:00","12:59",Hiver,HP
5,12,"13:00","15:59",Hiver,HC
5,12,"16:00","23:59",Hiver,HP
6,12,"00:00","23:59",Hiver,HC
0,12,"00:00","23:59",Hiver,HC
